square_360_id,square_60_id,square_15_id,pixel_value,original_row_index,original_col_index
45,"(0,0)",TR,0,360,6504
45,"(0,0)",TR,41,368,6507
45,"(0,0)",TR,0,370,6496
45,"(1,1)",BL,43,439,6545
45,"(1,1)",BL,22,442,6551
45,"(1,1)",BL,21,449,6540
45,"(2,2)",BL,23,495,6600
45,"(2,2)",BL,21,502,6614
45,"(2,2)",BL,22,506,6605
45,"(3,3)",BR,22,555,6678
45,"(3,3)",BR,21,563,6686
45,"(3,3)",BR,23,566,6684
45,"(4,4)",TR,43,604,6743
45,"(4,4)",TR,41,606,6736
45,"(4,4)",TR,21,614,6747
45,"(5,5)",TR,90,662,6798
45,"(5,5)",TR,41,669,6803
45,"(5,5)",TR,81,673,6809
46,"(0,0)",TL,41,364,6852
46,"(0,0)",TL,41,369,6840
46,"(0,0)",TL,90,371,6845
46,"(1,1)",TL,42,420,6900
46,"(1,1)",TL,43,427,6912
46,"(1,1)",TL,42,430,6909
46,"(2,2)",BR,81,495,6988
46,"(2,2)",BR,23,502,6984
46,"(2,2)",BR,81,505,6977
46,"(3,3)",BR,90,556,7041
46,"(3,3)",BR,43,562,7049
46,"(3,3)",BR,42,567,7039
46,"(4,4)",TL,21,600,7088
46,"(4,4)",TL,21,608,7080
46,"(4,4)",TL,43,610,7093
46,"(5,5)",TL,42,661,7148
46,"(5,5)",TL,42,666,7153
46,"(5,5)",TL,81,673,7143
56,"(0,0)",TL,0,722,725
56,"(0,0)",TL,0,728,731
56,"(0,0)",TL,0,733,721
56,"(1,1)",BR,21,795,801
56,"(1,1)",BR,41,800,807
56,"(1,1)",BR,81,809,797
56,"(2,2)",BR,81,855,859
56,"(2,2)",BR,81,864,864
56,"(2,2)",BR,43,868,867
56,"(3,3)",TR,43,900,917
56,"(3,3)",TR,41,908,924
56,"(3,3)",TR,41,914,928
56,"(4,4)",TR,41,961,977
56,"(4,4)",TR,43,967,980
56,"(4,4)",TR,43,970,985
56,"(5,5)",TR,41,1021,1045
56,"(5,5)",TR,41,1026,1035
56,"(5,5)",TR,52,1030,1044
57,"(0,0)",BR,43,736,1098
57,"(0,0)",BR,42,744,1108
57,"(0,0)",BR,43,749,1103
57,"(1,1)",BL,41,798,1140
57,"(1,1)",BL,43,804,1154
57,"(1,1)",BL,43,806,1147
57,"(2,2)",BL,43,859,1202
57,"(2,2)",BL,24,862,1210
57,"(2,2)",BL,24,866,1209
57,"(3,3)",TR,43,902,1279
57,"(3,3)",TR,41,908,1281
57,"(3,3)",TR,43,913,1288
57,"(4,4)",BR,41,975,1348
57,"(4,4)",BR,43,984,1338
57,"(4,4)",BR,41,989,1340
57,"(5,5)",BL,43,1037,1384
57,"(5,5)",BL,43,1041,1386
57,"(5,5)",BL,52,1047,1394
58,"(0,0)",TR,41,724,1465
58,"(0,0)",TR,41,727,1462
58,"(0,0)",TR,42,734,1456
58,"(1,1)",BL,42,797,1507
58,"(1,1)",BL,43,804,1501
58,"(1,1)",BL,41,808,1513
58,"(2,2)",BR,22,858,1589
58,"(2,2)",BR,41,860,1583
58,"(2,2)",BR,43,869,1577
58,"(3,3)",BL,43,919,1631
58,"(3,3)",BL,43,921,1622
58,"(3,3)",BL,41,926,1629
58,"(4,4)",BR,43,975,1705
58,"(4,4)",BR,42,982,1698
58,"(4,4)",BR,41,985,1701
58,"(5,5)",TL,81,1024,1748
58,"(5,5)",TL,43,1029,1744
58,"(5,5)",TL,81,1033,1751
59,"(0,0)",TR,11,721,1819
59,"(0,0)",TR,11,725,1822
59,"(0,0)",TR,11,732,1827
59,"(1,1)",TR,43,780,1888
59,"(1,1)",TR,43,788,1877
59,"(1,1)",TR,43,791,1880
59,"(2,2)",BL,42,855,1923
59,"(2,2)",BL,43,863,1925
59,"(2,2)",BL,43,867,1932
59,"(3,3)",TL,81,901,1991
59,"(3,3)",TL,81,906,1986
59,"(3,3)",TL,41,912,1983
59,"(4,4)",BR,43,978,2057
59,"(4,4)",BR,21,984,2066
59,"(4,4)",BR,42,985,2062
59,"(5,5)",BR,82,1035,2128
59,"(5,5)",BR,42,1043,2118
59,"(5,5)",BR,22,1046,2120
60,"(0,0)",TL,43,722,2173
60,"(0,0)",TL,41,728,2164
60,"(0,0)",TL,21,732,2167
60,"(1,1)",TL,41,782,2221
60,"(1,1)",TL,43,789,2230
60,"(1,1)",TL,43,790,2225
60,"(2,2)",BL,41,858,2283
60,"(2,2)",BL,90,864,2285
60,"(2,2)",BL,43,867,2290
60,"(3,3)",TL,43,901,2344
60,"(3,3)",TL,43,908,2350
60,"(3,3)",TL,43,911,2348
60,"(4,4)",TL,42,963,2407
60,"(4,4)",TL,43,965,2403
60,"(4,4)",TL,41,973,2413
60,"(5,5)",TL,42,1021,2462
60,"(5,5)",TL,41,1027,2471
60,"(5,5)",TL,42,1033,2468
61,"(0,0)",TR,90,723,2540
61,"(0,0)",TR,43,727,2549
61,"(0,0)",TR,90,730,2537
61,"(1,1)",BR,81,796,2602
61,"(1,1)",BR,81,801,2599
61,"(1,1)",BR,41,807,2605
61,"(2,2)",TR,42,841,2655
61,"(2,2)",TR,42,846,2669
61,"(2,2)",TR,42,850,2664
61,"(3,3)",BL,81,919,2701
61,"(3,3)",BL,23,921,2714
61,"(3,3)",BL,90,928,2705
61,"(4,4)",BL,41,977,2769
